month,weekday_idx,weekday,weekday_occurrences_in_range,check_message_count,check_event_count,mean_messages_per_weekday_in_range,mean_events_per_weekday_in_range
2017-06,0,Mon,1,0,0,0.0,0.0
2017-06,1,Tue,2,3,3,1.5,1.5
2017-06,2,Wed,2,2,2,1.0,1.0
2017-06,3,Thu,2,4,4,2.0,2.0
2017-06,4,Fri,2,5,5,2.5,2.5
2017-06,5,Sat,1,0,0,0.0,0.0
2017-06,6,Sun,1,0,0,0.0,0.0
2017-07,0,Mon,5,2,2,0.4,0.4
2017-07,1,Tue,4,4,4,1.0,1.0
2017-07,2,Wed,4,3,3,0.75,0.75
2017-07,3,Thu,4,5,5,1.25,1.25
2017-07,4,Fri,4,3,3,0.75,0.75
2017-07,5,Sat,5,0,0,0.0,0.0
2017-07,6,Sun,5,1,1,0.2,0.2
2017-08,0,Mon,4,5,5,1.25,1.25
2017-08,1,Tue,5,5,5,1.0,1.0
2017-08,2,Wed,5,6,6,1.2,1.2
2017-08,3,Thu,5,5,5,1.0,1.0
2017-08,4,Fri,4,1,1,0.25,0.25
2017-08,5,Sat,4,2,2,0.5,0.5
2017-08,6,Sun,4,2,2,0.5,0.5
2017-09,0,Mon,4,0,0,0.0,0.0
2017-09,1,Tue,4,7,7,1.75,1.75
2017-09,2,Wed,4,4,4,1.0,1.0
2017-09,3,Thu,4,5,5,1.25,1.25
2017-09,4,Fri,5,9,9,1.8,1.8
2017-09,5,Sat,5,4,4,0.8,0.8
2017-09,6,Sun,4,0,0,0.0,0.0
2017-10,0,Mon,5,19,19,3.8,3.8
2017-10,1,Tue,5,19,19,3.8,3.8
2017-10,2,Wed,4,19,19,4.75,4.75
2017-10,3,Thu,4,27,27,6.75,6.75
2017-10,4,Fri,4,20,20,5.0,5.0
2017-10,5,Sat,4,6,6,1.5,1.5
2017-10,6,Sun,5,9,9,1.8,1.8
2017-11,0,Mon,4,13,13,3.25,3.25
2017-11,1,Tue,4,35,35,8.75,8.75
2017-11,2,Wed,5,27,27,5.4,5.4
2017-11,3,Thu,5,39,39,7.8,7.8
2017-11,4,Fri,4,35,35,8.75,8.75
2017-11,5,Sat,4,26,26,6.5,6.5
2017-11,6,Sun,4,7,7,1.75,1.75
2017-12,0,Mon,4,22,22,5.5,5.5
2017-12,1,Tue,4,48,48,12.0,12.0
2017-12,2,Wed,4,43,43,10.75,10.75
2017-12,3,Thu,4,47,47,11.75,11.75
2017-12,4,Fri,5,52,52,10.4,10.4
2017-12,5,Sat,5,15,15,3.0,3.0
2017-12,6,Sun,5,4,4,0.8,0.8
2018-01,0,Mon,5,50,50,10.0,10.0
2018-01,1,Tue,5,81,81,16.2,16.2
2018-01,2,Wed,5,112,112,22.4,22.4
2018-01,3,Thu,4,67,67,16.75,16.75
2018-01,4,Fri,4,83,83,20.75,20.75
2018-01,5,Sat,4,11,11,2.75,2.75
2018-01,6,Sun,4,3,3,0.75,0.75
2018-02,0,Mon,4,26,26,6.5,6.5
2018-02,1,Tue,4,77,77,19.25,19.25
2018-02,2,Wed,4,95,95,23.75,23.75
2018-02,3,Thu,4,68,68,17.0,17.0
2018-02,4,Fri,4,74,74,18.5,18.5
2018-02,5,Sat,4,39,39,9.75,9.75
2018-02,6,Sun,4,17,17,4.25,4.25
2018-03,0,Mon,4,29,29,7.25,7.25
2018-03,1,Tue,4,66,66,16.5,16.5
2018-03,2,Wed,4,68,68,17.0,17.0
2018-03,3,Thu,5,88,88,17.6,17.6
2018-03,4,Fri,5,60,60,12.0,12.0
2018-03,5,Sat,5,16,16,3.2,3.2
2018-03,6,Sun,4,13,13,3.25,3.25
2018-04,0,Mon,5,40,40,8.0,8.0
2018-04,1,Tue,4,59,59,14.75,14.75
2018-04,2,Wed,4,75,75,18.75,18.75
2018-04,3,Thu,4,80,80,20.0,20.0
2018-04,4,Fri,4,57,57,14.25,14.25
2018-04,5,Sat,4,13,13,3.25,3.25
2018-04,6,Sun,5,16,16,3.2,3.2
2018-05,0,Mon,4,23,23,5.75,5.75
2018-05,1,Tue,5,52,52,10.4,10.4
2018-05,2,Wed,5,83,83,16.6,16.6
2018-05,3,Thu,5,51,51,10.2,10.2
2018-05,4,Fri,4,49,49,12.25,12.25
2018-05,5,Sat,4,18,18,4.5,4.5
2018-05,6,Sun,4,12,12,3.0,3.0
2018-06,0,Mon,4,24,24,6.0,6.0
2018-06,1,Tue,4,72,72,18.0,18.0
2018-06,2,Wed,4,66,66,16.5,16.5
2018-06,3,Thu,4,67,67,16.75,16.75
2018-06,4,Fri,5,61,61,12.2,12.2
2018-06,5,Sat,5,21,21,4.2,4.2
2018-06,6,Sun,4,13,13,3.25,3.25
2018-07,0,Mon,5,32,32,6.4,6.4
2018-07,1,Tue,5,70,70,14.0,14.0
2018-07,2,Wed,4,43,43,10.75,10.75
2018-07,3,Thu,4,43,43,10.75,10.75
2018-07,4,Fri,4,43,43,10.75,10.75
2018-07,5,Sat,4,20,20,5.0,5.0
2018-07,6,Sun,5,6,6,1.2,1.2
2018-08,0,Mon,4,34,34,8.5,8.5
2018-08,1,Tue,4,40,40,10.0,10.0
2018-08,2,Wed,5,35,35,7.0,7.0
2018-08,3,Thu,5,44,44,8.8,8.8
2018-08,4,Fri,5,49,49,9.8,9.8
2018-08,5,Sat,4,9,9,2.25,2.25
2018-08,6,Sun,4,4,4,1.0,1.0
2018-09,0,Mon,4,22,22,5.5,5.5
2018-09,1,Tue,4,38,38,9.5,9.5
2018-09,2,Wed,4,52,52,13.0,13.0
2018-09,3,Thu,4,43,43,10.75,10.75
2018-09,4,Fri,4,43,43,10.75,10.75
2018-09,5,Sat,5,26,26,5.2,5.2
2018-09,6,Sun,5,15,15,3.0,3.0
2018-10,0,Mon,5,31,31,6.2,6.2
2018-10,1,Tue,5,79,79,15.8,15.8
2018-10,2,Wed,5,59,59,11.8,11.8
2018-10,3,Thu,4,78,78,19.5,19.5
2018-10,4,Fri,4,47,47,11.75,11.75
2018-10,5,Sat,4,31,31,7.75,7.75
2018-10,6,Sun,4,14,14,3.5,3.5
2018-11,0,Mon,4,41,41,10.25,10.25
2018-11,1,Tue,4,52,52,13.0,13.0
2018-11,2,Wed,4,64,64,16.0,16.0
2018-11,3,Thu,5,95,95,19.0,19.0
2018-11,4,Fri,5,85,85,17.0,17.0
2018-11,5,Sat,4,11,11,2.75,2.75
2018-11,6,Sun,4,14,14,3.5,3.5
2018-12,0,Mon,5,54,54,10.8,10.8
2018-12,1,Tue,4,64,64,16.0,16.0
2018-12,2,Wed,4,64,64,16.0,16.0
2018-12,3,Thu,4,77,77,19.25,19.25
2018-12,4,Fri,4,72,72,18.0,18.0
2018-12,5,Sat,5,42,42,8.4,8.4
2018-12,6,Sun,5,14,14,2.8,2.8
2019-01,0,Mon,4,101,101,25.25,25.25
2019-01,1,Tue,5,77,77,15.4,15.4
2019-01,2,Wed,5,132,132,26.4,26.4
2019-01,3,Thu,5,132,132,26.4,26.4
2019-01,4,Fri,4,90,90,22.5,22.5
2019-01,5,Sat,4,48,48,12.0,12.0
2019-01,6,Sun,4,26,26,6.5,6.5
2019-02,0,Mon,4,84,84,21.0,21.0
2019-02,1,Tue,4,65,65,16.25,16.25
2019-02,2,Wed,4,82,82,20.5,20.5
2019-02,3,Thu,4,82,82,20.5,20.5
2019-02,4,Fri,4,100,100,25.0,25.0
2019-02,5,Sat,4,32,32,8.0,8.0
2019-02,6,Sun,4,18,18,4.5,4.5
2019-03,0,Mon,4,91,91,22.75,22.75
2019-03,1,Tue,4,117,117,29.25,29.25
2019-03,2,Wed,4,143,143,35.75,35.75
2019-03,3,Thu,4,83,83,20.75,20.75
2019-03,4,Fri,5,128,128,25.6,25.6
2019-03,5,Sat,5,32,32,6.4,6.4
2019-03,6,Sun,5,17,17,3.4,3.4
2019-04,0,Mon,5,109,109,21.8,21.8
2019-04,1,Tue,5,89,89,17.8,17.8
2019-04,2,Wed,4,74,74,18.5,18.5
2019-04,3,Thu,4,106,106,26.5,26.5
2019-04,4,Fri,4,64,64,16.0,16.0
2019-04,5,Sat,4,40,40,10.0,10.0
2019-04,6,Sun,4,13,13,3.25,3.25
2019-05,0,Mon,4,114,114,28.5,28.5
2019-05,1,Tue,4,138,138,34.5,34.5
2019-05,2,Wed,5,105,105,21.0,21.0
2019-05,3,Thu,5,100,100,20.0,20.0
2019-05,4,Fri,5,130,130,26.0,26.0
2019-05,5,Sat,4,48,48,12.0,12.0
2019-05,6,Sun,4,34,34,8.5,8.5
2019-06,0,Mon,4,67,67,16.75,16.75
2019-06,1,Tue,4,78,78,19.5,19.5
2019-06,2,Wed,4,102,102,25.5,25.5
2019-06,3,Thu,4,65,65,16.25,16.25
2019-06,4,Fri,4,101,101,25.25,25.25
2019-06,5,Sat,5,34,34,6.8,6.8
2019-06,6,Sun,5,15,15,3.0,3.0
2019-07,0,Mon,5,115,115,23.0,23.0
2019-07,1,Tue,5,110,110,22.0,22.0
2019-07,2,Wed,5,108,108,21.6,21.6
2019-07,3,Thu,4,92,92,23.0,23.0
2019-07,4,Fri,4,74,74,18.5,18.5
2019-07,5,Sat,4,8,8,2.0,2.0
2019-07,6,Sun,4,6,6,1.5,1.5
2019-08,0,Mon,4,94,94,23.5,23.5
2019-08,1,Tue,4,47,47,11.75,11.75
2019-08,2,Wed,4,96,96,24.0,24.0
2019-08,3,Thu,5,109,109,21.8,21.8
2019-08,4,Fri,5,77,77,15.4,15.4
2019-08,5,Sat,5,45,45,9.0,9.0
2019-08,6,Sun,4,20,20,5.0,5.0
2019-09,0,Mon,5,136,136,27.2,27.2
2019-09,1,Tue,4,70,70,17.5,17.5
2019-09,2,Wed,4,68,68,17.0,17.0
2019-09,3,Thu,4,95,95,23.75,23.75
2019-09,4,Fri,4,90,90,22.5,22.5
2019-09,5,Sat,4,39,39,9.75,9.75
2019-09,6,Sun,5,17,17,3.4,3.4
2019-10,0,Mon,4,127,127,31.75,31.75
2019-10,1,Tue,5,126,126,25.2,25.2
2019-10,2,Wed,5,136,136,27.2,27.2
2019-10,3,Thu,5,76,76,15.2,15.2
2019-10,4,Fri,4,108,108,27.0,27.0
2019-10,5,Sat,4,11,11,2.75,2.75
2019-10,6,Sun,4,17,17,4.25,4.25
2019-11,0,Mon,4,140,140,35.0,35.0
2019-11,1,Tue,4,150,150,37.5,37.5
2019-11,2,Wed,4,104,104,26.0,26.0
2019-11,3,Thu,4,159,159,39.75,39.75
2019-11,4,Fri,5,164,164,32.8,32.8
2019-11,5,Sat,5,52,52,10.4,10.4
2019-11,6,Sun,4,15,15,3.75,3.75
2019-12,0,Mon,5,127,127,25.4,25.4
2019-12,1,Tue,5,81,81,16.2,16.2
2019-12,2,Wed,4,78,78,19.5,19.5
2019-12,3,Thu,4,87,87,21.75,21.75
2019-12,4,Fri,4,117,117,29.25,29.25
2019-12,5,Sat,4,59,59,14.75,14.75
2019-12,6,Sun,5,32,32,6.4,6.4
2020-01,0,Mon,4,181,181,45.25,45.25
2020-01,1,Tue,4,115,115,28.75,28.75
2020-01,2,Wed,5,117,117,23.4,23.4
2020-01,3,Thu,5,160,160,32.0,32.0
2020-01,4,Fri,5,203,203,40.6,40.6
2020-01,5,Sat,4,21,21,5.25,5.25
2020-01,6,Sun,4,34,34,8.5,8.5
2020-02,0,Mon,4,159,159,39.75,39.75
2020-02,1,Tue,4,155,155,38.75,38.75
2020-02,2,Wed,4,192,192,48.0,48.0
2020-02,3,Thu,4,191,191,47.75,47.75
2020-02,4,Fri,4,161,161,40.25,40.25
2020-02,5,Sat,5,70,70,14.0,14.0
2020-02,6,Sun,4,17,17,4.25,4.25
2020-03,0,Mon,5,107,107,21.4,21.4
2020-03,1,Tue,5,54,54,10.8,10.8
2020-03,2,Wed,4,53,53,13.25,13.25
2020-03,3,Thu,4,81,81,20.25,20.25
2020-03,4,Fri,4,74,74,18.5,18.5
2020-03,5,Sat,4,29,29,7.25,7.25
2020-03,6,Sun,5,32,32,6.4,6.4
2020-04,0,Mon,4,7,7,1.75,1.75
2020-04,1,Tue,4,12,12,3.0,3.0
2020-04,2,Wed,5,14,14,2.8,2.8
2020-04,3,Thu,5,17,17,3.4,3.4
2020-04,4,Fri,4,2,2,0.5,0.5
2020-04,5,Sat,4,1,1,0.25,0.25
2020-04,6,Sun,4,0,0,0.0,0.0
2020-05,0,Mon,4,108,108,27.0,27.0
2020-05,1,Tue,4,77,77,19.25,19.25
2020-05,2,Wed,4,69,69,17.25,17.25
2020-05,3,Thu,4,53,53,13.25,13.25
2020-05,4,Fri,5,69,69,13.8,13.8
2020-05,5,Sat,5,41,41,8.2,8.2
2020-05,6,Sun,5,14,14,2.8,2.8
2020-06,0,Mon,5,91,91,18.2,18.2
2020-06,1,Tue,5,103,103,20.6,20.6
2020-06,2,Wed,4,66,66,16.5,16.5
2020-06,3,Thu,4,91,91,22.75,22.75
2020-06,4,Fri,4,96,96,24.0,24.0
2020-06,5,Sat,4,21,21,5.25,5.25
2020-06,6,Sun,4,2,2,0.5,0.5
2020-07,0,Mon,4,51,51,12.75,12.75
2020-07,1,Tue,4,37,37,9.25,9.25
2020-07,2,Wed,5,45,45,9.0,9.0
2020-07,3,Thu,5,65,65,13.0,13.0
2020-07,4,Fri,5,74,74,14.8,14.8
2020-07,5,Sat,4,26,26,6.5,6.5
2020-07,6,Sun,4,11,11,2.75,2.75
2020-08,0,Mon,5,112,112,22.4,22.4
2020-08,1,Tue,4,64,64,16.0,16.0
2020-08,2,Wed,4,63,63,15.75,15.75
2020-08,3,Thu,4,69,69,17.25,17.25
2020-08,4,Fri,4,80,80,20.0,20.0
2020-08,5,Sat,5,35,35,7.0,7.0
2020-08,6,Sun,5,13,13,2.6,2.6
2020-09,0,Mon,4,83,83,20.75,20.75
2020-09,1,Tue,5,99,99,19.8,19.8
2020-09,2,Wed,5,100,100,20.0,20.0
2020-09,3,Thu,4,71,71,17.75,17.75
2020-09,4,Fri,4,69,69,17.25,17.25
2020-09,5,Sat,4,16,16,4.0,4.0
2020-09,6,Sun,4,20,20,5.0,5.0
2020-10,0,Mon,4,60,60,15.0,15.0
2020-10,1,Tue,4,93,93,23.25,23.25
2020-10,2,Wed,4,86,86,21.5,21.5
2020-10,3,Thu,5,87,87,17.4,17.4
2020-10,4,Fri,5,128,128,25.6,25.6
2020-10,5,Sat,5,14,14,2.8,2.8
2020-10,6,Sun,4,9,9,2.25,2.25
2020-11,0,Mon,5,143,143,28.6,28.6
2020-11,1,Tue,4,112,112,28.0,28.0
2020-11,2,Wed,4,49,49,12.25,12.25
2020-11,3,Thu,4,94,94,23.5,23.5
2020-11,4,Fri,4,100,100,25.0,25.0
2020-11,5,Sat,4,17,17,4.25,4.25
2020-11,6,Sun,5,31,31,6.2,6.2
2020-12,0,Mon,4,91,91,22.75,22.75
2020-12,1,Tue,5,83,83,16.6,16.6
2020-12,2,Wed,5,97,97,19.4,19.4
2020-12,3,Thu,5,69,69,13.8,13.8
2020-12,4,Fri,4,77,77,19.25,19.25
2020-12,5,Sat,4,13,13,3.25,3.25
2020-12,6,Sun,4,12,12,3.0,3.0
2021-01,0,Mon,4,103,103,25.75,25.75
2021-01,1,Tue,4,84,84,21.0,21.0
2021-01,2,Wed,4,93,93,23.25,23.25
2021-01,3,Thu,4,90,90,22.5,22.5
2021-01,4,Fri,5,89,89,17.8,17.8
2021-01,5,Sat,5,26,26,5.2,5.2
2021-01,6,Sun,5,9,9,1.8,1.8
2021-02,0,Mon,4,50,50,12.5,12.5
2021-02,1,Tue,4,47,47,11.75,11.75
2021-02,2,Wed,4,72,72,18.0,18.0
2021-02,3,Thu,4,69,69,17.25,17.25
2021-02,4,Fri,4,89,89,22.25,22.25
2021-02,5,Sat,4,15,15,3.75,3.75
2021-02,6,Sun,4,1,1,0.25,0.25
2021-03,0,Mon,5,152,152,30.4,30.4
2021-03,1,Tue,5,96,96,19.2,19.2
2021-03,2,Wed,5,90,90,18.0,18.0
2021-03,3,Thu,4,96,96,24.0,24.0
2021-03,4,Fri,4,91,91,22.75,22.75
2021-03,5,Sat,4,34,34,8.5,8.5
2021-03,6,Sun,4,18,18,4.5,4.5
2021-04,0,Mon,4,106,106,26.5,26.5
2021-04,1,Tue,4,93,93,23.25,23.25
2021-04,2,Wed,4,96,96,24.0,24.0
2021-04,3,Thu,5,127,127,25.4,25.4
2021-04,4,Fri,5,114,114,22.8,22.8
2021-04,5,Sat,4,17,17,4.25,4.25
2021-04,6,Sun,4,13,13,3.25,3.25
2021-05,0,Mon,5,112,112,22.4,22.4
2021-05,1,Tue,4,109,109,27.25,27.25
2021-05,2,Wed,4,87,87,21.75,21.75
2021-05,3,Thu,4,81,81,20.25,20.25
2021-05,4,Fri,4,105,105,26.25,26.25
2021-05,5,Sat,5,15,15,3.0,3.0
2021-05,6,Sun,5,12,12,2.4,2.4
2021-06,0,Mon,4,51,51,12.75,12.75
2021-06,1,Tue,5,72,72,14.4,14.4
2021-06,2,Wed,5,95,95,19.0,19.0
2021-06,3,Thu,4,39,39,9.75,9.75
2021-06,4,Fri,4,62,62,15.5,15.5
2021-06,5,Sat,4,17,17,4.25,4.25
2021-06,6,Sun,4,20,20,5.0,5.0
2021-07,0,Mon,4,59,59,14.75,14.75
2021-07,1,Tue,4,45,45,11.25,11.25
2021-07,2,Wed,4,69,69,17.25,17.25
2021-07,3,Thu,5,93,93,18.6,18.6
2021-07,4,Fri,5,94,94,18.8,18.8
2021-07,5,Sat,5,25,25,5.0,5.0
2021-07,6,Sun,4,22,22,5.5,5.5
2021-08,0,Mon,5,87,87,17.4,17.4
2021-08,1,Tue,5,100,100,20.0,20.0
2021-08,2,Wed,4,99,99,24.75,24.75
2021-08,3,Thu,4,79,79,19.75,19.75
2021-08,4,Fri,4,74,74,18.5,18.5
2021-08,5,Sat,4,12,12,3.0,3.0
2021-08,6,Sun,5,10,10,2.0,2.0
2021-09,0,Mon,4,90,90,22.5,22.5
2021-09,1,Tue,4,74,74,18.5,18.5
2021-09,2,Wed,5,87,87,17.4,17.4
2021-09,3,Thu,5,96,96,19.2,19.2
2021-09,4,Fri,4,102,102,25.5,25.5
2021-09,5,Sat,4,19,19,4.75,4.75
2021-09,6,Sun,4,22,22,5.5,5.5
2021-10,0,Mon,4,106,106,26.5,26.5
